epoch,accuracy,loss,val_accuracy,val_loss
0,0.49654027819633484,1.1718568801879883,0.5504322648048401,1.1287778615951538
1,0.6595627069473267,0.8320428133010864,0.579250693321228,1.051993727684021
2,0.7481317520141602,0.663242757320404,0.5648415088653564,1.1509997844696045
3,0.7813451290130615,0.5587475895881653,0.5561959743499756,1.2246874570846558
4,0.8361472487449646,0.4426538944244385,0.5850144028663635,1.379073143005371
5,0.8765568733215332,0.35680925846099854,0.5965417623519897,1.4227865934371948
6,0.895101010799408,0.2944164574146271,0.5446686148643494,1.6168748140335083
7,0.9161361455917358,0.24147608876228333,0.5706051588058472,1.563645362854004
8,0.9036811590194702,0.2711568772792816,0.5475504398345947,1.949082374572754
9,0.922225296497345,0.20773310959339142,0.559077799320221,1.8017256259918213
10,0.9421533346176147,0.16558323800563812,0.5504322648048401,2.0800180435180664
11,0.9565458297729492,0.13506095111370087,0.5504322648048401,2.286935329437256
12,0.9601439237594604,0.12023624032735825,0.5244956612586975,2.268145799636841
13,0.9593135714530945,0.1192980632185936,0.5619596838951111,2.2685635089874268
14,0.9637420177459717,0.11051729321479797,0.559077799320221,2.3482306003570557
15,0.9568225741386414,0.12584315240383148,0.5648415088653564,2.372149705886841
16,0.9684472680091858,0.10163086652755737,0.5475504398345947,2.562255859375
17,0.948519229888916,0.16058412194252014,0.5446686148643494,2.6155996322631836
18,0.9463050365447998,0.14695699512958527,0.5734870433807373,2.2733023166656494
19,0.9681705236434937,0.08809292316436768,0.5648415088653564,2.595759153366089
20,0.9698311686515808,0.09006607532501221,0.5561959743499756,2.4333431720733643
21,0.9786880612373352,0.07326195389032364,0.5533141493797302,2.4047787189483643
22,0.974259614944458,0.06455834209918976,0.5475504398345947,2.5624570846557617
23,0.977027416229248,0.06788872927427292,0.5763688683509827,2.485243320465088
24,0.973706066608429,0.0732608363032341,0.579250693321228,2.5850846767425537
