epoch,accuracy,loss,val_accuracy,val_loss
0,0.35732078552246094,1.3280019760131836,0.3832853138446808,1.2907178401947021
1,0.6338223218917847,0.9998874664306641,0.6455331444740295,0.9553686380386353
2,0.7904788255691528,0.588454008102417,0.680115282535553,0.821937084197998
3,0.845004141330719,0.4154410660266876,0.6714697480201721,0.813947856426239
4,0.8812621235847473,0.33108559250831604,0.6916426420211792,0.8441258072853088
5,0.9081096053123474,0.2719319760799408,0.6974063515663147,0.8854634761810303
6,0.9252698421478271,0.22241386771202087,0.6743515729904175,0.944652795791626
7,0.9407694339752197,0.18701386451721191,0.6945244669914246,1.0210140943527222
8,0.949903130531311,0.15800639986991882,0.6916426420211792,1.05414879322052
9,0.9615278244018555,0.13645747303962708,0.7002881765365601,1.1077929735183716
10,0.9665098190307617,0.11895528435707092,0.680115282535553,1.1604727506637573
11,0.9651259183883667,0.11504971235990524,0.6916426420211792,1.1997826099395752
12,0.9698311686515808,0.10327155143022537,0.7002881765365601,1.2578779458999634
13,0.9709382653236389,0.09324539452791214,0.6743515729904175,1.3528231382369995
14,0.9717686176300049,0.091058649122715,0.6916426420211792,1.3694307804107666
15,0.975089967250824,0.07937217503786087,0.6829971075057983,1.3596792221069336
16,0.9725989699363708,0.08001504838466644,0.6743515729904175,1.4210089445114136
17,0.973706066608429,0.07782101631164551,0.6685879230499268,1.4207524061203003
18,0.9759202599525452,0.07400403916835785,0.6858789920806885,1.4430211782455444
19,0.9759202599525452,0.0681915357708931,0.6743515729904175,1.4823542833328247
20,0.975089967250824,0.06889217346906662,0.6657060384750366,1.5518583059310913
21,0.9761970639228821,0.06252022832632065,0.6714697480201721,1.544595718383789
22,0.9786880612373352,0.06465788930654526,0.680115282535553,1.6074881553649902
23,0.976473867893219,0.0638044998049736,0.680115282535553,1.6455947160720825
24,0.975643515586853,0.06263476610183716,0.6887608170509338,1.6001890897750854
